[0.000000] (-) TimerEvent: {}
[0.000447] (-) JobUnselected: {'identifier': 'd435i_xarm_setup'}
[0.000464] (-) JobUnselected: {'identifier': 'gazebo_dev'}
[0.000474] (-) JobUnselected: {'identifier': 'gazebo_msgs'}
[0.000487] (-) JobUnselected: {'identifier': 'gazebo_plugins'}
[0.000494] (-) JobUnselected: {'identifier': 'gazebo_ros'}
[0.000501] (-) JobUnselected: {'identifier': 'gazebo_ros_pkgs'}
[0.000508] (-) JobUnselected: {'identifier': 'gen3_lite_gen3_lite_2f_move_it_config'}
[0.000515] (-) JobUnselected: {'identifier': 'gen3_move_it_config'}
[0.000522] (-) JobUnselected: {'identifier': 'gen3_robotiq_2f_140_move_it_config'}
[0.000529] (-) JobUnselected: {'identifier': 'gen3_robotiq_2f_85_move_it_config'}
[0.000536] (-) JobUnselected: {'identifier': 'kortex_control'}
[0.000543] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000550] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000557] (-) JobUnselected: {'identifier': 'kortex_gazebo'}
[0.000563] (-) JobUnselected: {'identifier': 'kortex_move_it_config'}
[0.000570] (-) JobUnselected: {'identifier': 'mbot_demo'}
[0.000577] (-) JobUnselected: {'identifier': 'netft_rdt_driver'}
[0.000584] (-) JobUnselected: {'identifier': 'realsense_gazebo_plugin'}
[0.000591] (-) JobUnselected: {'identifier': 'robotiq_2f_140_gripper_visualization'}
[0.000598] (-) JobUnselected: {'identifier': 'robotiq_2f_85_gripper_visualization'}
[0.000605] (-) JobUnselected: {'identifier': 'robotiq_2f_gripper_control'}
[0.000612] (-) JobUnselected: {'identifier': 'robotiq_2f_gripper_msgs'}
[0.000619] (-) JobUnselected: {'identifier': 'robotiq_ethercat'}
[0.000626] (-) JobUnselected: {'identifier': 'robotiq_modbus_rtu'}
[0.000633] (-) JobUnselected: {'identifier': 'robotiq_vacuum_gripper_description'}
[0.000639] (-) JobUnselected: {'identifier': 'robotiq_vacuum_grippers_control'}
[0.000646] (-) JobUnselected: {'identifier': 'third_party'}
[0.000653] (-) JobUnselected: {'identifier': 'uf_ros_lib'}
[0.000660] (-) JobUnselected: {'identifier': 'ufactory_ellmer_msgs'}
[0.000666] (-) JobUnselected: {'identifier': 'xarm_api'}
[0.000673] (-) JobUnselected: {'identifier': 'xarm_controller'}
[0.000680] (-) JobUnselected: {'identifier': 'xarm_description'}
[0.000687] (-) JobUnselected: {'identifier': 'xarm_gazebo'}
[0.000694] (-) JobUnselected: {'identifier': 'xarm_moveit_config'}
[0.000700] (-) JobUnselected: {'identifier': 'xarm_moveit_servo'}
[0.000707] (-) JobUnselected: {'identifier': 'xarm_msgs'}
[0.000714] (-) JobUnselected: {'identifier': 'xarm_planner'}
[0.000721] (-) JobUnselected: {'identifier': 'xarm_sdk'}
[0.000729] (kortex_examples) JobQueued: {'identifier': 'kortex_examples', 'dependencies': OrderedDict([('ufactory_ellmer_msgs', '/home/eugene/ufactory_ellmer_ws/install/ufactory_ellmer_msgs')])}
[0.000747] (kortex_examples) JobStarted: {'identifier': 'kortex_examples'}
[0.027300] (kortex_examples) JobEnded: {'identifier': 'kortex_examples', 'rc': 1}
[0.033339] (-) EventReactorShutdown: {}
